실제값,예측값
26.4,26.02699999999999
-0.3,-0.36600000000000016
13.3,12.256000000000006
22.1,21.224
23.2,23.04799999999999
4.2,4.118
4.9,6.0920000000000005
-10.9,-11.019
11.0,11.115
25.7,24.017000000000003
-0.6,-2.1639999999999997
-2.6,-2.622999999999999
-2.2,-1.6959999999999986
-1.9,-1.7819999999999985
-0.4,0.6170000000000002
28.0,27.945000000000004
15.4,15.165000000000004
24.2,23.913
21.7,21.454
24.9,25.145
16.8,17.459
20.8,21.046000000000006
12.8,13.261999999999999
30.1,29.47699999999999
4.1,7.0710000000000015
22.4,22.104999999999997
11.4,12.331000000000007
24.3,24.668999999999997
1.8,2.827
20.4,20.209000000000007
7.5,6.836
30.9,31.245000000000005
14.0,15.973999999999995
4.7,5.022999999999999
19.2,19.015999999999995
2.5,2.6720000000000015
22.4,22.04
18.9,17.45
14.1,15.193999999999999
15.5,15.016000000000002
-0.5,-0.04800000000000006
22.9,23.559999999999995
23.5,23.564
25.5,25.177999999999987
6.6,6.804000000000003
5.5,4.095999999999998
28.2,28.658000000000005
27.5,26.534999999999986
5.2,4.768000000000002
17.1,17.345999999999997
12.1,11.924000000000003
16.8,17.36599999999999
27.8,29.086
-5.6,-6.032999999999995
3.0,1.9480000000000006
22.3,21.814000000000007
22.9,20.745999999999995
23.5,23.81499999999999
0.3,0.5989999999999998
17.4,17.88999999999999
13.1,12.402999999999999
2.3,3.5729999999999995
13.4,14.248999999999992
14.6,16.05000000000001
4.5,3.5189999999999997
12.2,10.812000000000001
24.5,24.929999999999996
-9.9,-10.101000000000003
5.5,5.172
12.0,11.434999999999997
24.4,23.005
3.3,1.2699999999999996
19.4,18.295000000000005
14.7,14.778000000000002
15.9,15.983999999999998
14.4,15.731999999999996
7.2,7.168000000000002
12.5,14.177000000000005
1.3,-1.4279999999999993
29.1,29.992000000000008
22.5,21.892999999999997
8.8,8.758000000000003
22.2,23.12099999999999
2.0,1.5839999999999994
3.8,5.375
14.3,14.422
19.3,18.774000000000004
-0.2,-0.3840000000000001
23.3,23.340000000000014
26.8,25.77499999999999
22.6,22.700000000000003
23.7,23.758999999999993
24.5,22.947000000000006
20.8,19.330999999999996
18.7,17.780999999999995
22.6,23.389
-0.1,-0.34499999999999986
5.4,4.5509999999999975
15.4,15.258999999999999
4.8,5.607
8.9,6.781999999999998
20.5,20.504
4.7,3.708000000000002
10.4,10.84
37.5,36.951000000000015
5.4,5.074000000000002
23.7,24.713000000000008
-0.5,0.6409999999999999
8.6,7.454
24.5,24.81
19.1,18.919999999999998
16.8,16.47900000000001
9.0,8.495000000000008
17.1,17.134000000000004
12.9,12.869999999999997
11.7,12.678999999999998
17.7,19.484999999999996
-2.0,-1.9539999999999997
8.8,9.017000000000001
26.2,26.474
24.7,25.008999999999997
4.4,2.6459999999999995
14.9,14.552999999999999
22.7,21.677999999999997
21.2,21.746999999999993
16.3,16.594999999999995
18.8,18.864999999999995
25.0,25.081999999999983
18.4,19.251
16.4,16.021
2.3,2.315
23.5,21.468000000000004
26.5,26.03999999999998
9.3,8.201999999999995
3.4,2.503999999999999
-11.1,-11.863
7.3,8.074
4.7,5.141999999999999
32.8,32.00100000000003
25.1,23.92299999999999
17.0,17.526
0.5,0.4040000000000001
22.8,22.522999999999993
20.7,20.901
9.7,9.730000000000004
13.2,12.781
23.5,23.622999999999998
28.4,27.886999999999993
31.4,31.685
12.5,10.886999999999995
4.8,5.728999999999997
20.9,21.43300000000001
4.2,5.131
17.9,18.035999999999998
3.8,3.8459999999999974
25.2,25.793999999999986
